ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,
๑,ตราด,๑,๑,๑,ทั้งจังหวัด,,1
๒,นครนายก,๑,๑,๑,ทั้งจังหวัด,,1
๓,พังงา,๑,๑,๑,ทั้งจังหวัด,,1
๔,แม่ฮ่องสอน,๑,๑,๑,ทั้งจังหวัด,,1
๕,ระนอง,๑,๑,๑,ทั้งจังหวัด,,1
๖,สมุทรสงคราม,๑,๑,๑,ทั้งจังหวัด,,1
๗,สิงห์บุรี,๑,๑,๑,ทั้งจังหวัด,,1
๘,อ่างทอง,๑,๑,๑,ทั้งจังหวัด,,1
๙,กระบี่,๒,๒,"๑
 
 
 
 ๒","๑. อำเภอเมืองกระบี่
 ๒. อำเภออ่าวลึก
 ๓. อำเภอปลายพระยา
 ๔. อำเภอเขาพนม (เฉพาะตำบลหน้าเขา และตำบลเขาดิน) ๑. อำเภอเหนือคลอง
 ๒. อำเภอคลองท่อม
 ๓. อำเภอเกาะลันตา
 ๔. อำเภอลำทับ
 ๕. อำเภอเขาพนม (ยกเว้นตำบลหน้าเขา และตำบลเขาดิน)",,1
,,,,,,,0
หนา ๗,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
๑๐,ชัยนาท,๒,๒,"๑
 
 
 
 
 
 
 
 
 ๒","๑. อำเภอเมืองชัยนาท
 ๒. อำเภอสรรพยา ๓. อำเภอมโนรมย์
 ๔. อำเภอวัดสิงห์
 (เฉพาะตำบลมะขามเฒ่า ตำบลหนองน้อย ตำบลหนองบัว ตำบลหนองขุ่น
 และเทศบาลตำบลวัดสิงห์)
 ๑. อำเภอสรรคบุรี
 ๒. อำเภอหันคา
 ๓. อำเภอเนินขาม
 ๔. อำเภอหนองมะโมง
 ๕. อำเภอวัดสิงห์
 (ยกเว้นตำบลมะขามเฒ่า ตำบลหนองน้อย ตำบลหนองบัว ตำบลหนองขุ่น และเทศบาลตำบลวัดสิงห์)",,1
๑๑,บึงกาฬ,๒,๒,"๑
 
 
 
 ๒","๑. อำเภอเมืองบึงกาฬ
 ๒. อำเภอโซ่พิสัย
 ๓. อำเภอปากคาด
 ๔. อำเภอบุ่งคล้า
 ๑. อำเภอเซกา
 ๒. อำเภอพรเจริญ
 ๓. อำเภอศรีวิไล
 ๔. อำเภอบึงโขงหลง",,1
๑๒,แพร่,๒,๒,๑,"๑. อำเภอเมืองแพร่
 ๒. อำเภอสอง
 ๓. อำเภอร้องกวาง
 ๔. อำเภอหนองม่วงไข่",,1
,,,,,,,0
หนา ๘,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,๒,"๑. อำเภอสูงเม่น
 ๒. อำเภอเด่นชัย
 ๓. อำเภอลอง
 ๔. อำเภอวังชิ้น",,1
๑๓,ภูเก็ต,๒,๒,"๑
 
 
 ๒","อำเภอเมืองภูเก็ต (ยกเว้นตำบลเกาะแก้ว ตำบลราไวย์ และตำบลกะรน)
 ๑. อำเภอถลาง
 ๒. อำเภอกะทู้
 ๓. อำเภอเมืองภูเก็ต
 (เฉพาะตำบลเกาะแก้ว ตำบลราไวย์ และตำบลกะรน)",,1
๑๔,มุกดาหาร,๒,๒,"๑
 
 
 
 
 
 
 
 
 
 
 
 ๒","๑. อำเภอเมืองมุกดาหาร (เฉพาะตำบลมุกดาหาร ตำบลศรีบุญเรือง ตำบลคำอาฮวน ตำบลดงเย็น ตำบลบางทรายใหญ่ ตำบลบ้านโคก ตำบลคำป่าหลาย ตำบลกุดแข้ ตำบลนาสีนวน และตำบลโพนทราย)
 ๒. อำเภอดอนตาล
 ๓. อำเภอหว้านใหญ่
 ๑. อำเภอเมืองมุกดาหาร (ยกเว้นตำบลมุกดาหาร ตำบลศรีบุญเรือง ตำบลคำอาฮวน ตำบลดงเย็น ตำบลบางทรายใหญ่",,1
,,,,,,,0
หนา ๙,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,,"ตำบลบ้านโคก ตำบลคำป่าหลาย ตำบลกุดแข้ ตำบลนาสีนวน และตำบลโพนทราย)
 ๒. อำเภอคำชะอี
 ๓. อำเภอนิคมคำสร้อย
 ๔. อำเภอดงหลวง
 ๕. อำเภอหนองสูง",,1
๑๕,ลำพูน,๒,๒,"๑
 
 
 ๒","๑. อำเภอเมืองลำพูน
 ๒. อำเภอแม่ทา
 ๓. อำเภอบ้านธิ
 ๑. อำเภอเวียงหนองล่อง
 ๒. อำเภอบ้านโฮ่ง
 ๓. อำเภอทุ่งหัวช้าง
 ๔. อำเภอลี้
 ๕. อำเภอป่าซาง",,1
๑๖,สตูล,๒,๒,"๑
 
 
 
 ๒","๑. อำเภอเมืองสตูล
 ๒. อำเภอควนโดน
 ๓. อำเภอควนกาหลง (เฉพาะตำบลทุ่งนุ้ย) ๑. อำเภอควนกาหลง
 (ยกเว้นตำบลทุ่งนุ้ย)
 ๒. อำเภอละงู
 ๓. อำเภอท่าแพ
 ๔. อำเภอทุ่งหว้า
 ๕. อำเภอมะนัง",,1
๑๗,อำนาจเจริญ,๒,๒,"๑
 
 ๒","๑. อำเภอเมืองอำนาจเจริญ
 ๒. อำเภอหัวตะพาน
 ๑. อำเภอปทุมราชวงศา
 ๒. อำเภอลืออำนาจ",,1
,,,,,,,0
หนา ๑๐,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,,"๓. อำเภอชานุมาน
 ๔. อำเภอเสนางคนิคม
 ๕. อำเภอพนา",,1
๑๘,อุตรดิตถ์,๒,๒,"๑
 
 
 ๒","๑. อำเภอเมืองอุตรดิตถ์
 ๒. อำเภอตรอน
 ๓. อำเภอลับแล
 ๑. อำเภอพิชัย
 ๒. อำเภอทองแสนขัน
 ๓. อำเภอท่าปลา
 ๔. อำเภอน้ำปาด
 ๕. อำเภอฟากท่า
 ๖. อำเภอบ้านโคก",,1
๑๙,อุทัยธานี,๒,๒,"๑
 
 
 
 
 
 
 
 ๒","๑. อำเภอเมืองอุทัยธานี
 ๒. อำเภอหนองขาหย่าง
 ๓. อำเภอทัพทัน
 ๔. อำเภอสว่างอารมณ์
 ๕. อำเภอหนองฉาง
 (ยกเว้นตำบลทุ่งโพ ตำบลเขากวางทอง และตำบลเขาบางแกรก)
 ๑. อำเภอลานสัก
 ๒. อำเภอห้วยคต
 ๓. อำเภอบ้านไร่
 ๔. อำเภอหนองฉาง
 (เฉพาะตำบลทุ่งโพ ตำบลเขากวางทอง และตำบลเขาบางแกรก)",,1
๒๐,จันทบุรี,๓,๓,"๑
 
 ๒","๑. อำเภอเมืองจันทบุรี
 ๒. อำเภอแหลมสิงห์
 ๑. อำเภอท่าใหม่
 ๒. อำเภอนายายอาม",,1
,,,,,,,0
หนา ๑๑,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,๓,"๓. อำเภอแก่งหางแมว
 ๔. อำเภอเขาคิชฌกูฏ
 ๑. อำเภอโป่งน้ำร้อน
 ๒. อำเภอขลุง
 ๓. อำเภอมะขาม
 ๔. อำเภอสอยดาว",,1
๒๑,ชุมพร,๓,๓,"๑
 
 
 
 
 
 
 
 
 ๒
 
 
 
 
 
 
 
 ๓","๑. อำเภอเมืองชุมพร (ยกเว้นตำบลวังใหม่ ตำบลบ้านนา ตำบลหาดพันไกร ตำบลบางลึก และตำบลถ้ำสิงห์)
 ๒. อำเภอสวี
 (ยกเว้นตำบลเขาทะลุ และตำบลเขาค่าย)
 ๑. อำเภอเมืองชุมพร (เฉพาะตำบลวังใหม่ ตำบลบ้านนา ตำบลหาดพันไกร ตำบลบางลึก และตำบลถ้ำสิงห์)
 ๒. อำเภอท่าแซะ
 ๓. อำเภอปะทิว
 ๑. อำเภอสวี
 (เฉพาะตำบลเขาทะลุ และตำบลเขาค่าย)
 ๒. อำเภอหลังสวน
 ๓. อำเภอละแม
 ๔. อำเภอพะโต๊ะ
 ๕. อำเภอทุ่งตะโก",,1
,,,,,,,0
หนา ๑๒,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
๒๒,ตรัง,๓,๓,"๑
 
 
 
 
 ๒
 
 
 
 
 
 ๓","๑. อำเภอเมืองตรัง
 ๒. อำเภอนาโยง
 ๓. อำเภอย่านตาขาว (เฉพาะตำบลนาชุมเห็ด และตำบลโพรงจระเข้)
 ๑. อำเภอห้วยยอด
 ๒. อำเภอรัษฎา
 ๓. อำเภอวังวิเศษ
 ๔. อำเภอสิเกา
 ๕. อำเภอกันตัง
 (เฉพาะตำบลโคกยาง)
 ๑. อำเภอกันตัง
 (ยกเว้นตา บลโคกยาง)
 ๒. อำเภอปะเหลียน
 ๓. อำเภอหาดสำราญ
 ๔. อำเภอย่านตาขาว (ยกเว้นตำบลนาชุมเห็ด และตำบลโพรงจระเข้)",,1
๒๓,ตาก,๓,๓,"๑
 
 
 
 
 
 ๒","๑. อำเภอเมืองตาก
 ๒. อำเภอบ้านตาก
 (ยกเว้นตำบลท้องฟ้า
 และตำบลเกาะตะเภา)
 ๓. อำเภอวังเจ้า
 ๔. อำเภอสามเงา
 ๑. อำเภอแม่สอด (ยกเว้นตำบลแม่กาษา ตำบลท่าสายลวด และตำบลแม่ปะ) ๒. อำเภอพบพระ
 ๓. อำเภออุ้มผาง",,1
,,,,,,,0
หนา ๑๓,,,,,,,0
,,,,,,,0
ลำดับ ที่,จังหวัด,"จำนวน
 สมาชิกสภา ผู้แทนราษฎร","จำนวน
 เขตเลือกตั้ง","เขต
 เลือกตั้งที่","ท้องที่ที่ประกอบ
 เป็นเขตเลือกตั้ง",,1
,,,,๓,"๑. อำเภอแม่สอด (เฉพาะตำบลแม่กาษา ตำบลท่าสายลวด และตำบลแม่ปะ) ๒. อำเภอแม่ระมาด
 ๓. อำเภอท่าสองยาง
 ๔. อำเภอบ้านตาก
 (เฉพาะตำบลท้องฟ้า และตำบลเกาะตะเภา)",,1
๒๔,น่าน,๓,๓,"๑
 
 
 ๒
 
 
 
 
 
 ๓","๑. อำเภอเมืองน่าน
 ๒. อำเภอภูเพียง
 ๓. อำเภอท่าวังผา
 ๑. อำเภอเวียงสา ๒. อำเภอนาน้อย
 ๓. อำเภอนาหมื่น
 ๔. อำเภอแม่จริม
 ๕. อำเภอบ้านหลวง
 ๖. อำเภอสันติสุข
 ๑. อำเภอปัว
 ๒. อำเภอเชียงกลาง
 ๓. อำเภอสองแคว ๔. อำเภอบ่อเกลือ
 ๕. อำเภอเฉลิมพระเกียรติ
 ๖. อำเภอทุ่งช้าง",,1
