ลําดับที่,จังหวัด,เขต,,,,,
เลือกตั้งที่,เลขที่,,,,,,
ใบรับใบสมัคร,คํานําหน้า,,,,,,
ผู้สมัคร,ชื่อผู้สมัคร,นามสกุลผู้สมัคร,ชื่อพรรคการเมือง,,,,
1,กระบี่,1,1,นาย,วรวงค์,ระฆังทอง,ประชาภิวัฒน์
2,กระบี่,1,2,นาย,แสงชัย,วสุนธรา,พลังประชารัฐ
3,กระบี่,1,3,นาย,สมพร,จันทร์อ่อน,ไทยรักษาชาติ
4,กระบี่,1,4,นาย,สมคิด,แซ่ฮ่อ,ประชาธิปไตยใหม่
5,กระบี่,1,5,นาย,วศิน,สิริเกียรติกลุ,เสรีรวมไทย
6,กระบี่,1,6,นาย,จุรุพงค์,โชคไพศาล,ชาติพัฒนา
7,กระบี่,1,7,นาย,ไชยา,ดําดี,ชาติไทยพัฒนา
8,กระบี่,1,8,นาง,วิชญาดา,บุญฤทธิ์,แทนคุณแผ่นดิน
9,กระบี่,1,9,ร.ต.อ.,นิตินัย,พรหมเจริญ,พลังธรรมใหม่
10,กระบี่,1,10,ว่าที่ พ.ต.,กิตติศักดิ์,กิตติสิทโธ,ภูมิใจไทย
11,กระบี่,1,11,นาย,จักรพรรดิ,สุคนธกนิษฐ,รวมพลังประชาชาติไทย
12,กระบี่,1,12,พ.ต.ท.,สมมาตร,เกลี้ยงสิน,ประชานิยม
13,กระบี่,1,13,นาย,สุทัศ,แก้วแสวง,พลังท้องถิ่นไท
14,กระบี่,1,14,นาง,วาสนา,แซ่ฉั่ว,พลังชาติไทย
15,กระบี่,1,15,นาย,ยุทธนา,อ่าวลึกน้อย,อนาคตใหม่
16,กระบี่,1,16,นาย,ทวีเกียรติ,ใจดี,ประชาชาติ
17,กระบี่,1,17,นาย,ไพบูลย์,เกกินะ,เพื่อชาติ
18,กระบี่,1,18,นาย,สาคร,เกี่ยวข้อง,ประชาธิปัตย์
19,กระบี่,1,19,นาย,สมใจ,นวลนุ่น,รักษ์ผืนป่าประเทศไทย
