พรรคกรีน
นายพงศา ชูแนม
นายสุเทพ คงเทศ
นายวีระพงศ์ สกล
นายสุพจน์ บุญยัง
นายภักดี หิรัญ
นายสธรรดร เพชรพลาย
นายประหยัด โททุมพล
นายสหพันธ์ จันทพันธ์
นายเกริก มีมุ่งกิจ
นายชณะกฤช นิ้ววังโส
นางพิชามญช์ ปล้องพันธ์
นางสาวชฎาภรณ์ พันธ์ทอง
พรรคกลาง
นายชุมพล ครุฑแก้ว
นางสาวนวรัตน์ ไชยพลอนันท์
นายชาติชาย ผู้ประกาย
นายสุขทวี สุวรรณชัยรบ
นางสาวชนาธิป เตียวเจริญโชค
นายภูมิ วชร เจริญผลิตผล
พรรคกสิกรไทย
นายทรรศซล พงษ์ภควัต
พรรคคนงานไทย
นายธีระ เจียบุญหยก
พรรคคนธรรมดาแห่งประเทศไทย
นายธนพร ศรียากูล
นายสมชาย ศรีสัมพันธ์
พรรคครูไทยเพื่อประชาชน
นายปรีดา บุญเพลิง
นายสุวิชญ์ โยทองยศ
นายศักดิ์ดา สามารถ
นายสรสินธุ ไตรจักรภพ
ศาสตราจารย์ชัยพร ธนถาวรกิจ
นายสมศักดิ์ มกรมณเฑียร
นายปรัชญา มั่นทน
นายอนันท์ อาบสุวรรณ
นายอับดุลรอณีย์ เด็งสาแม
นายอวยชัย วะทา
นายสมยงค์ แก้วสุพรรณ
นางสุนทรี เทพสุวรรณ
นายพีระ ศรีศศิวงศ์
พันตํารวจเอกมนิต นิลพานิช
นายธวัชชัย เมืองนาง
นายทองพูน สุขเมือง
นายอธิพงษ์ บุญเพลิง
นายชาญศักดิ์ พุ่มมาก
นายเกชา เดชา
นายชนก หนูสมแก้ว
นายธเนศ ด่านวิบูลย์
นายตรีเพชร ศรีกระภา
พันตํารวจเอกสมทรง พละเดช
นายนิพนธ์ ชูช่วยสุวรรณ
นายนิพนธ์ ราชจริต
นายจรัล เพ็ญประทุม
พันตํารวจเอกสาย แคนดา
นายวีระศิลป์ ประเสริฐทรง
นายเรืองชัย กลางขุนทด
นายวิรัช จันทร์เกิด
นายสุพจน์ ดีสุข
นายคําปั่น ตอชัยภูมิ
นายอนันต์ สนิทไทย
นางประภาพรรณ ฝีมือสาร
นายบุญส่ง สุวรรณศรี
นางวิเชียรรัตน์ พึ่งกลั่น
นางสุภัชชกา ศรแก้ว
นายธีทัต ธนเพ็ญสิทธิ์
นายพิศาล ชัยยงค์
นายสรศักดิ์ มณีโรจน์
นางสาวปารีดะ ตาเยะ
นายพวนชัย โคตรชนะ
นายธนเดช วงษ์ใหญ่
นายศิรเมศร์ สุขกุลวรเศรษฐ์
นางสุนีย์ แก้วศรียงค์
นางสาวชัญญพัชร์ โชคประสิทธิผล
นางบุษบา วุฒิพงศ์
นายเมธา จันทร์หอม
นายธนพล บุตรชัยงาม
นายเสถียร แตะยา
นายณพล ต่อโชติ
นายเจษฎา พรมทอง
นายทองสุข โหล่คํา
นาวาอากาศตรีนพดล นพคุณ
นายกิตติคม หาวิรส
นายบุญหนา ศรีหาทับ
นายโสฬส บุญญาวงศ์
นายชิตภณ วรอัครกุล
นางมะลิวรรณ ผิวขาว
นางสาวปุญชรัสม วงค์พานิชย์
นายเบียง ชนะชัย
นายเกรียงไกร ภูมิลักษณ์
นายรัตนพงษ์ คําผง
นายเพิ่มศักดิ์ ขายทอง
นางภัทราวรรณ ณรงค์รัตนกานต์
นายทวี ทองบาง
นายเล็ก สุจันทร์
นายชาญวิช ฤทธิรงค์
นายพงศ์ศรัณย์ ตานะประทีปกุล
นายชัยวริศว์ ธนถาวรกิตติ์
นายวรเชษฐ์ ค่วยเทศ
นายสุพัต อ่อนน้อม
นายสะมาแอ กูโน
นายครรชิต สารกิจอาภา
นายเชาวลิตร บินมูสอ
นางวนิดา โยทองยศ
พันตํารวจโทจรูญ ป้อมกฤษณ์
พรรคคลองไทย
นายสายัณห์ อินทรภักดิ์
นายสุทิน ช่วยธานี
นางสาวพรประภา เลอพิพัฒวรพงศ์
พลี จังหวัดสมุทรปราการ ๑๐๕๔๐ พันตํารวจเอกอดิษร
นายจํานง อินทรภักดิ์
นายพนิต ศรีโยธา
นางสาวทัศนีย์วรรณ รัตนตรัยวงษ์
นายสวาท บัวผัน
จ่าเอกพิภูษณ อินจันทร์
นายภัสกร ช่วยวงศ์
ร้อยตํารวจโทจีรฤทธิ์ เกตุหนู
จ่าสิบเอกสุทธิรักษ์ จําริห์
นายบุญฤทธิ์ มากไข่
นายจําแลง นิลโมจน์
นายชัด จักรราช
นายชวเอิบ อินทรภักดี
นายประสิทธิ์ พลฤทธิ์
นายอรุณ เทพแก้ว
นายจํารอง แก้วบุญทอง
นายธรรมนูญ ขวัญเชื้อ
นายสุทัศน์ ด้วงเอียด
พันตํารวจโทเก่งกาจ สุขสวัสดิ์
นายวริทธิ์ธร ชําริห์
นายชม จันทร์พุ่ม
นายคารม ชูทวี
นางสาวพัชรินทร์ สังข์เจริญ
นางณภัทร หมู่ผึ้ง
พรรคความหวังใหม่
นายชิงชัย มงคลธรรม
นายวิทยา ปราบภัย
นายวิเศษ สุริโย
นายเสกสรร ชดกลาง
พลี จังหวัดสมุทรปราการ ๑๐๕๔๐
นายกฤติเดช ภักดีล้น
นายประเสริฐ เสริมทรัพย์
นายชวลิต ภู่พัฒน์
นางสาวธัญณีย์ ศรีวรเรืองชัย
นายณัฐรัชต์ ฉายวรภัทร
นายสุรชัย สุดรักษ์
นายธนภัทร จันทร์เพ็ชร์บุรี
นางสาวอรจิรา โกศลโชติชโลธร
นายนพสิทธิ์ ชุติพงศ์วัฒน์
พรรคเครือข่ายชาวนาแห่งประเทศไทย
นายวชิร ศุภรมย์
นายชรินทร์ ดวงดารา
นางปิ่นแก้ว แก้วสุกแท้
นายวิเชียร ควรเลี่ยม
ร้อยยอด จังหวัดประจวบคีรีขันธ์ ๗๗๑๘๐
นายสุวรรณ เหรียญทอง
นางเตือนใจ น้ําใจสัตย์
นายวัชรพงศ์ ชํานาญเวช
นายวันชัย ปารมีกาศ
นางวรินทร เสมอใจ
พรรคชาติไทยพัฒนา
นายวราวุธ ศิลปอาชา
นายธีระ วงศ์สมุทร
นายนิกร จํานง
นายนพดล มาตรศรี
นายนิติวัฒน์ จันทร์สว่าง
นายสมนึก สกุลรัตนกุลชัย ,
นางสาวทัศน์ลักษณ์ ปัตตพงศ์ภัช
พลเอกสนธิ บุญยรัตกลิน
นายธเนศพล ธนบุณยวัฒน์
นายเสน่ห์ ขาวโต
นายสัมพันธ์ แป้นพัฒน์
นายณรงค์ นุ่นทอง
นายอุดมศักดิ์ ศรีสุทิวา
นายวิรัช วัฒนไกร
นางสาวพัชรี โพธสุธน
นายวิทยา ศรีชมภู
นายรัฐชทรัพย์ นิชิด้า
นางแสงจันทร์ วรสุมันต์
นายอภิวัชร บัวพันธ์
นายภักดีหาญส์ หิมะทองคํา
นายนาวิน ดํารักษ์
นายสิระ กลันผล
นายวิเศษ ภูมิวิชัย
นายกานต์พล เรืองอร่าม
นายสามารถ ศักดิ์แก้ว
นายภูรินทร์ วรศรี
นายวินัย สุนันท์คณาภรณ์
นายมาหามะสะตา สะแปอิง
นางสาวณัฏิรัตน์ แซ่เอี้ย
นายปิยะรัฐ ประเสริฐ
นายรชฎทองใหญ่ ยินดี
นายประยูร แก่นมัน
นายสมภาศ พจนปรีชา
นายณัฐสรัน แลเมาะ
นายอาฮามัดกาแม แวมูซอ
นายทนง ชมขวัญ
นายพงษ์ศักดิ์ ถวิลไพร
นายอนุพนธ์ ภิญญานิล
นายสมชาย ลิ้มพันธ์
นางสิริกร เรืองฤทธิ์
นายยงยุทธ กฤษณ์สุวรรณ
นายกมล กิจกสิวัฒน์
พันโทสรวิชญ์ จันทลือชา
นางสาวทิพย์สุดา วาทบัณฑิตกุล
นางสาวดวงตา วาทบัณฑิตกุล
นายทวิช ถิ่นเกาะยาว
นายศุภวัฒน์ ศรีสวาท
นายจําเนียร รักใหม่
นายยศ สาแก้ว
นางกมลรัตน์ แก้วมณี
นายธนบูลย์ กิ่งเกตุ
นายธเนศพล สิมมา
นายพันธ์ศักดิ์ พานิกุล
นายพร้อมพงษ์ รัตนจริงใจ
นายภลศักดิ์ ทองพัฒน์
นายเจษฎา บัณฑูรรังษี
นางสาวทองจิตรา มุงขุนทด
นายเหม ร่าเริง
นายทองคํา บุตรราช
นางสาววรรณภา ขําบุญศรี
นายรัชกฤช จารุวสุภัทร
ว่าที่ร้อยเอกกฤติเดชกรกฤษ
นายวุฒิพงศ์ พุทธิธนพัฒน์
นายก่อการ เปรื่องวิชา
นายธนยศ ยกทวน
นายวินัย ชุมโคตร
พรรคชาติพัฒนา
นายเทวัญ ลิปตพัลลภ
นายดล เหตระกูล
นายณัฏฐชัย ศรีรุ่งสุขพินิจ
พันเอกวินัย สมพงษ์
นายสาคร พรหมภักดี
นายสมบัติ กาญจนวัฒนา
นายปกครอง ผาสุขยืด
นางสาวอัครวรรณ เจริญผล
นายเรืองฤทธิ์ ศิริสวัสดิ์
นายอรัญ พันธุมจินดา
นายอดุลย์ เลาหพล
นายมนตรี แก้วแพง
นายพงษ์พิช รุ่งเป้า
นางบุษรา เสนะวีณิน
นายสุเมธ ศรีพงษ์
นายวิทิตนันท์ โรจนพานิช
พลโทชรินทร์ อมรแก้ว
นายสุทธิโรจน์ เจริญผล
พลตรีธชา จินตวร
นายบุญมา อิ่มวิเศษ
นายประทีป กรีฑาเวช
นายนวพรรษ สุวรรณสุนทร
นายเชิดศักดิ์ เจนวรากุล
นายยศพงศ์ นาทันรีบ
นายชูศักดิ์ สิงหพันธุ์
นายก้องเกียรติ เอียดทอง
นายวิเชียร จันทร์บัว
นายธันนวัฒน์ ชะเอม
นายศรีชาติ อ่อนโคกสูง
นายสุทัศน์ อินทชาติ
นายจิรพล จินดาพล
นายสุเทพ อภิศักดิ์มนตรี
นายพนมวัน พึ่งความชอบ
นายสมชาย ทิพย์วงค์ษา
นายณรงค์ ศรีสุวรรณภรณ์
นายจักรกฤษณ์ ศรีสิทธิพรหม
นายวีระ น้อยอินทร์
นายวิศิษย์ จันดากูล
นางสาวสกลสุภา บุญยาดี
นายสิทธิเวช ไชยวงษา
นางสุรพร หนองหารพิทักษ์
นายมณัติ พูนจันอัด
นายธีระนันท์ เฉลยวิมาน
นางสาวรมณ มะเริงสิทธิ
นางสาวณัฐนิชา เชี่ยวเวช
ว่าที่ร้อยตรีธนาศักดิ์ วิวัฒน์นิรันดร
นายวัชรินทร์ สุธรรมานนท์
นายถิรายุ อิงคสมภพ
นายธัญญะ วงศ์พรเพ็ญภาพ
นายณรงค์ฤทธิ์ เหมืองทองมูล
นายอมรินทร์ อัครกวิน
นายพัฒน์สกรณ์ มณีรัตนชาติ
นางสมจิตร หล่าคํา
นางสาวปราณี เจะเลาะ
นายสมชาย เมฆกิตติกุล
นายเสน่ห์ ทวีคุณ
พรรคชาติพันธุ์ไทย
นายพลศุภรักษ์ ศิริจันทรานนท์ -
นายโกวิทย์ จิรชนานนท์
นายภราดล พรอํานวย
นางสาวสินีนุช ชยางศุ
ว่าที่ร้อยตรีอาทิตย์ เรืองวุฒิ
นายโสฬส ตระกูลลีวัฒนา
สิบเอกจรัล สันคม
นางณิชรัตน์ วิรัชช์ดิชพงศ์
พลอากาศตรีวัฒนัน ณ ลําพูน
นายรัชกร ปิยะสัจจบูลย์
ว่าที่ร้อยตรีสนั่น พันธุ์อุโมงค์
นายจงกล สินทอง
นางสาวนิศารัตน์ ปัญญาดี
พันตรีสิทธิศักดิ์ คุตพฤกษ์
สิบเอกอํานวย ยาวิชัย
พรรคฐานรากไทย
ว่าที่ร้อยตรีญาณวุฒิ พรหมเดชากุล
พันจ่าตรีญาณวุฒิ ทองเฟือง
นายปราช เอกภาพันธ์
นายภักดี เหล่าลาภะ
จ่าเอกทรงกลดภพ รัตนภาค
นายายอาม จังหวัดจันทบุรี ๒๒๑๗๐ ๖ นายสวัสดิ์ บุญวัฒน์
นายเปรมชัย ศรีโนนโคตร
นายเมธี สีหาทับ
นายอดิศร ปัญญาปิง
นายณรักษ์ มณีราช
นางปรานี หูพารักษา
นางสาวนวพร ภูเหล่าม่วง
นายนิกร อาษาราช
นางสุดาดวง เหล่าลาภะ
พรรคถิ่นกาขาวชาววิไล
