เพื่อไทย - คุณหญิง สุดารัตน์ เกยุราพันธุ์,นาย ชัชชาติ สิทธิพันธุ์,นาย ชัยเกษม นิติสิริ
ชาติพัฒนา - นาย สุวัจน์ ลิปตพัลลภ,นาย วรรณรัตน์ ชาญนุกูล,นาย เทวัญ ลิปตพัลลภ
ประชาชาติ - นาย วันมูหะมัดนอร์ มะทา,พ.ต.อ. ทวี สอดส่อง,น.ส. ณหทัย ทิวไผ่งาม
ไทยธรรม - นาย อโณทัย ดวงดารา,นาย ภูษิต ภูปภัสศิริ,นาย กิติกร วิชัยเรืองธรรม
ไทยศรีวิไลย์ - นาย มงคลกิตติ์ สุขสินธารานนท์,นาย ณัชพล สุพัฒนะ,น.ส. ภคอร จันทรคณา
ประชาภิวัฒน์ - นาย สมเกียรติ ศรลัมพ์,นาง นันทนา สงฆ์ประชา,ศ. สุทธิพร จิตต์มิตรภาพ
ประชานิยม - พ.ต.อ. รวมนคร ทับทิมธงไชย,พล.ต.อ. ยงยุทธ เทพจำนงค์,นาย ปฐมฤกษ์ มณีเนตร
มหาชน - นาย อภิรัต ศิรินาวิน,นาย พาลินี งามพริ้ง,นาย สุปกิจ คชเสนี
ชาติพันธุ์ไทย - นาย โกวิทย์ จิรชนานนท์,นาย พลศุภรักษ์ ศิริจันทรานนท์,นาย ภราดร พรอำนวย
พลังท้องถิ่นไทย - นาย ชัชวาลล์ คงอุดม,ศ. โกวิทย์ พวงงาม
พลังไทยรักไทย - พล.อ. ธรรมรักษ์ อิศรางกูร ณ อยุธยา,นาย คฑาเทพ เตชะเดชเรืองกุล
ฐานรากไทย - นาย บวร ยสินทร,ว่าที่_ร.ต. ญาณวุฒิ พรหมเดชากุล
ประชากรไทย - นาย สุมิตร สุนทรเวช,นาย คณิศร สมมะลวน
ประชาธรรมไทย - นาย พิเชษฐ สถิรชวาล,นาย ชัยวุฑ ตรึกครอง
แผ่นดินธรรม - ศ._พิเศษ_ร.ท. บรรจบ บรรณรุจิ,นาย กรณ์ มีดี
พลังประชารัฐ - พล.อ. ประยุทธ์ จันทร์โอชา
ประชาธิปัตย์ - นาย อภิสิทธิ์ เวชชาชีวะ
ภูมิใจไทย - นาย อนุทิน ชาญวีรกุล
ชาติไทยพัฒนา - น.ส. กัญจนา ศิลปอาชา
อนาคตใหม่ - นาย ธนาธร จึงรุ่งเรืองกิจ
เศรษฐกิจใหม่ - นาย มิ่งขวัญ แสงสุวรรณ์
เสรีรวมไทย - พล.ต.อ. เสรีพิศุทธ์ เตมียเวส
เพื่อธรรม - นาง นลินี ทวีสิน
ความหวังใหม่ - นาย ชิงชัย มงคลธรรม
ทางเลือกใหม่ - นาย ราเชน ตระกูลเวียง
พลังชาติไทย - พล.ต. ทรงกรด ทิพย์รัตน์
ภราดรภาพ - ม.ร.ว. ดำรงดิศ ดิศกุล
สังคมประชาธิปไตยไทย - นาย สมศักดิ์ โกศัยสุข
กรีน - นาย พงศา ชูแนม
กลาง - นาย ชุมพล ครุฑแก้ว
กสิกรไทย - นาย ทรรศชล พงษ์ภควัต
คนงานไทย - นาย ธีระ เจียบุญหยก
คนธรรมดาแห่งประเทศไทย - นาย ธนพร ศรียากูล
ครูไทยเพื่อประชาชน - นาย ปรีดา บุญเพลิง
คลองไทย - นาย สายัณห์ อินทรภักดิ์
ประชาธิปไตยใหม่ - นาย สุรทิน พิจารณ์
พลเมืองไทย - นาย เอกพร รักความสุข
พลังไทยดี - นาย สาธุ อนุโมทามิ
พลังประชาธิปไตย - นาย พูลพิพัฒน์ นิลรังสี
พลังสังคม - นาย วิฑูรย์ ชลายนนาวิน
พัฒนาประเทศไทย - นาย ศิลปิน หาญผดุงธรรมะ
เพื่อคนไทย - นาย วิทยา อินาลา
เพื่อชีวิตใหม่ - นาย กฤติวัฒน์ กลางชัย
ภาคีเครือข่ายไทย - น.ส. กฤษอนงค์ สุวรรณวงศ์
สยามพัฒนา - นาย อเนก พันธุรัตน์
